date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:43	18759/18759	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dee8-4947%22	https://mediaman.ma/clients/LOGOS-07.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-07c619.png	(from https://mediaman.ma/)
12:56:43	10768/10768	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-2a10%22	https://mediaman.ma/clients/LOGOS-08.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-08c619.png	(from https://mediaman.ma/)
12:56:44	15638/15638	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-3d16%22	https://mediaman.ma/clients/LOGOS-09.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-09c619.png	(from https://mediaman.ma/)
12:56:45	31067/31067	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dea0-795b%22	https://mediaman.ma/clients/LOGOS-10.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-10c619.png	(from https://mediaman.ma/)
12:56:46	23911/23911	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-5d67%22	https://mediaman.ma/clients/LOGOS-11.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-11c619.png	(from https://mediaman.ma/)
12:56:47	24987/24987	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-619b%22	https://mediaman.ma/clients/LOGOS-12.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-12c619.png	(from https://mediaman.ma/)
12:56:47	23886/23886	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-5d4e%22	https://mediaman.ma/clients/LOGOS-13.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-13c619.png	(from https://mediaman.ma/)
12:56:48	14159/14159	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-374f%22	https://mediaman.ma/clients/LOGOS-14.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-14c619.png	(from https://mediaman.ma/)
12:56:48	50728/50728	---MCZ	200	added ('OK')	image/png	etag:W/%2261b77b50-c628%22	https://mediaman.ma/clients/LOGOS-15.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-15c619.png	(from https://mediaman.ma/)
12:56:48	20234/20234	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-4f0a%22	https://mediaman.ma/clients/LOGOS-16.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-16c619.png	(from https://mediaman.ma/)
12:56:48	10127/10127	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-278f%22	https://mediaman.ma/clients/LOGOS-17.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-17c619.png	(from https://mediaman.ma/)
12:56:50	12990/12990	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-32be%22	https://mediaman.ma/clients/LOGOS-19.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-19c619.png	(from https://mediaman.ma/)
